loan_amnt,term,emp_length,home_ownership,annual_inc,verification_status,zip_code,addr_state,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,loan_status
5000,36 months,10+ years,RENT,24000,Verified,860xx,AZ,0,1,3,0,13648,83.70%,9,Fully Paid
2500,60 months,< 1 year,RENT,30000,Source Verified,309xx,GA,0,5,3,0,1687,9.40%,4,Charged Off
2400,36 months,10+ years,RENT,12252,Not Verified,606xx,IL,0,2,2,0,2956,98.50%,10,Fully Paid
10000,36 months,10+ years,RENT,49200,Source Verified,917xx,CA,0,1,10,0,5598,21%,37,Fully Paid
3000,60 months,1 year,RENT,80000,Source Verified,972xx,OR,0,0,15,0,27783,53.90%,38,Fully Paid
5000,36 months,3 years,RENT,36000,Source Verified,852xx,AZ,0,3,9,0,7963,28.30%,12,Fully Paid
7000,60 months,8 years,RENT,47004,Not Verified,280xx,NC,0,1,7,0,17726,85.60%,11,Fully Paid
3000,36 months,9 years,RENT,48000,Source Verified,900xx,CA,0,2,4,0,8221,87.50%,4,Fully Paid
5600,60 months,4 years,OWN,40000,Source Verified,958xx,CA,0,2,11,0,5210,32.60%,13,Charged Off
5375,60 months,< 1 year,RENT,15000,Verified,774xx,TX,0,0,2,0,9279,36.50%,3,Charged Off
6500,60 months,5 years,OWN,72000,Not Verified,853xx,AZ,0,2,14,0,4032,20.60%,23,Fully Paid
12000,36 months,10+ years,OWN,75000,Source Verified,913xx,CA,0,0,12,0,23336,67.10%,34,Fully Paid
9000,36 months,< 1 year,RENT,30000,Source Verified,245xx,VA,0,1,4,0,10452,91.70%,9,Charged Off
3000,36 months,3 years,RENT,15000,Source Verified,606xx,IL,0,2,11,0,7323,43.10%,11,Fully Paid
10000,36 months,3 years,RENT,100000,Source Verified,951xx,CA,0,2,14,0,11997,55.50%,29,Charged Off
1000,36 months,< 1 year,RENT,28000,Not Verified,641xx,MO,0,1,11,0,6524,81.50%,23,Fully Paid
10000,36 months,4 years,RENT,42000,Not Verified,921xx,CA,0,2,14,0,24043,70.20%,28,Fully Paid
3600,36 months,10+ years,MORTGAGE,110000,Not Verified,067xx,CT,0,0,20,0,22836,16%,42,Fully Paid
6000,36 months,1 year,MORTGAGE,84000,Verified,890xx,UT,2,0,4,0,0,37.73%,14,Fully Paid
9200,36 months,6 years,RENT,77385.19,Not Verified,921xx,CA,0,0,8,0,7314,23.10%,28,Fully Paid
20250,60 months,3 years,RENT,43370,Verified,770xx,TX,0,3,8,0,17813,85.60%,22,Fully Paid
21000,36 months,10+ years,RENT,105000,Verified,335xx,FL,0,0,7,0,32135,90.30%,38,Charged Off
10000,36 months,10+ years,OWN,50000,Source Verified,799xx,TX,0,0,8,0,10056,82.40%,21,Fully Paid
10000,36 months,5 years,RENT,50000,Not Verified,917xx,CA,0,0,6,0,17800,91.80%,17,Fully Paid
6000,36 months,1 year,RENT,76000,Not Verified,900xx,CA,0,1,7,0,5963,29.70%,7,Charged Off
15000,36 months,2 years,MORTGAGE,92000,Verified,605xx,IL,0,0,8,0,13707,93.90%,31,Fully Paid
15000,36 months,9 years,RENT,60000,Not Verified,103xx,NY,0,1,7,0,5872,57.60%,11,Charged Off
5000,60 months,2 years,RENT,50004,Not Verified,150xx,PA,3,0,14,0,4345,59.50%,22,Charged Off
4000,36 months,10+ years,MORTGAGE,106000,Not Verified,326xx,FL,1,0,12,0,6110,37.70%,44,Fully Paid
8500,36 months,< 1 year,RENT,25000,Source Verified,564xx,MN,0,0,8,0,6441,59.10%,12,Fully Paid
4375,36 months,7 years,MORTGAGE,17108,Source Verified,141xx,NY,0,0,6,0,11210,86.90%,12,Fully Paid
31825,36 months,5 years,MORTGAGE,75000,Verified,080xx,NJ,0,0,12,0,23151,27.40%,26,Fully Paid
10000,60 months,2 years,RENT,29120,Verified,330xx,FL,0,1,11,0,16158,63.60%,31,Fully Paid
